Director,Actor1,Actor2,Actor3,Rating,DirectorLikes,Actor1Likes,Actor2Likes,Actor3Likes
Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,7.2,52,22000,1000,148
Bob Clark,Scott Baio,Vanessa Angel,Peter Wingfield,1.9,84,650,384,177
Les Mayfield,Miguel Ferrer,Susie Essman,Gigi Rice,5.5,10,688,99,69
Les Mayfield,Callum Rennie,Will Patton,Cedric the Entertainer,4.5,10,716,537,436
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,6.3,54,786,567,463
Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,7.0,189,683,641,388
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,2.8,3,787,690,593
Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,5.0,9,997,941,826
David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,4.3,119,885,816,633
Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,6.2,17,669,429,86
Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,5.3,29,1000,794,522
Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,7.4,608,1000,452,149
Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,7.4,38,1000,1000,975
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,7.2,150,18000,1000,956
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,2.3,892,310,294,81
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,6.4,650,690,224,181
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,6.1,143,829,681,430
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,7.0,78,1000,969,745
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,6.5,329,1000,912,544
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,7.0,18,20,18,9
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,7.0,162,23000,13000,228
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,4.9,19,15000,13000,619
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,8.4,6000,893,851,745
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,6.9,22,572,548,413
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,4.5,42,801,174,161
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,7.4,214,1000,509,430
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,7.0,14,2000,769,400
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,2.8,121,836,624,587
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,7.5,110,23000,876,722
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,7.1,55,991,10,2
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,6.4,115,9000,1000,977
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,6.7,12,979,532,231
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,5.3,11000,11000,11000,188
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,6.9,78,488,336,101
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,6.2,25,18000,723,407
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,6.3,46,33000,4000,902
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,6.4,58,699,533,324
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,6.0,8,106,56,11
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,5.1,14,403,368,311
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,5.5,3,14000,506,442
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,5.4,278,3000,602,181
Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,5.7,448,9000,750,648
Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,5.2,23,344,281,51
Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,6.2,10,483,472,60
Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,6.7,5,18000,867,716
Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,4.8,2,729,282,53
Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,7.2,23,22000,2000,897
James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,5.6,160,14000,1000,889
Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,6.4,17,12000,991,897
John Curran,Toby Jones,Sally Hawkins,Alan David,7.5,43,2000,594,7
Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,7.4,34,486,471,155
Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,5.7,52,3000,957,384
Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,6.8,17,14000,599,551
Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,5.9,15,1000,852,528
Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,5.5,17,1000,795,670
William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,5.6,37,885,828,545
Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,5.0,97,731,634,319
Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,6.1,8,544,449,110
Shawn Levy,Taran Killam,David Agranov,David Moscow,5.4,189,500,308,306
Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,7.1,93,31000,3000,521
Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,3.6,2,1000,539,402
Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,6.5,42,991,894,219
Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,8.6,6000,17,10,7
Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,7.0,79,14000,12000,1000
Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,7.6,33,876,526,326
Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,6.5,51,948,822,630
Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,6.4,14,3000,547,356
Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,6.7,75,617,134,102
Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,6.3,31,2000,2000,562
Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,6.4,33,1000,919,505
Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,6.3,500,12000,1000,530
James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,7.8,44,8000,691,85
Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,6.0,15,87000,17000,16000
Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,5.7,15,82,39,27
Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,6.4,89,920,798,329
Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,6.9,55,789,424,360
Penny Marshall,Tom Hanks,Jon Lovitz,John Heard,7.3,545,15000,11000,697
Larry Charles,Luenell,Ken Davitian,Chester,7.3,119,332,165,6
Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,6.2,126,2000,788,584
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,6.6,12000,12000,664,643
Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,6.7,301,1000,539,457
Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,5.7,31,1000,489,489
Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,3.1,179,12000,1000,734
Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,6.3,15,723,552,172
Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,5.7,8,748,656,521
Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,7.1,72,1000,624,566
Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,7.0,116,8000,503,481
Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,6.1,52,567,312,261
David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,6.6,42,975,569,557
John McTiernan,Shane Black,Bill Duke,Carl Weathers,7.8,323,1000,1000,794
Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,8.3,869,692,670,521
Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,3.9,29,2000,690,458
Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,7.0,70,2000,1000,625
Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,6.7,22,727,171,148
Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,7.3,500,1000,559,555
Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,7.3,11000,594,268,218
Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,7.6,521,97,68,64
Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,5.3,23,2000,1000,582
Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,5.3,8,844,456,341
Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,7.1,80,2000,795,723
Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,5.8,62,390,258,59
Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,5.8,130,691,476,406
Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,8.3,17000,22000,394,356
Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,5.6,7,2000,980,827
Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,6.8,272,155,144,124
Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,5.0,64,808,720,637
Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,6.7,11000,11000,11000,975
Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,6.7,13,757,220,111
Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,5.7,24,10000,566,85
Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,5.2,38,17000,632,362
Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,7.5,34,16000,4000,1000
Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,6.5,44,12000,904,729
William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,5.0,28,372,262,102
John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,6.1,128,11000,2000,1000
Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,4.4,31,210,193,179
Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,5.5,6,723,422,371
István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,7.1,109,405,204,202
Adrian Lyne,David Margulies,Karen Young,Kim Chan,5.9,213,567,67,45
Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,6.7,25,1000,115,94
Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,7.0,97,577,416,231
Tim Burton,Johnny Depp,Bill Murray,Martin Landau,7.9,13000,40000,13000,940
Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,6.9,655,24000,14000,405
Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,7.3,44,627,12,9
Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,3.5,379,456,278,251
Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,7.4,78,989,258,238
Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,6.7,337,4000,820,201
Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,6.4,11000,11000,944,922
Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,7.1,6,25000,14000,212
Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,4.0,662,662,290,161
Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,5.9,28,1000,695,415
D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,7.2,154,1000,783,576
Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,7.2,190,364,253,151
Gregor Jordan,Austin Nichols,Brad Renfro,Lou Taylor Pucci,5.1,34,663,551,394
Tran Anh Hung,Takuya Kimura,Simón Andreu,Shawn Yue,5.5,157,84,35,32
Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,5.2,55,1000,872,757
Christian Volckman,Romola Garai,Catherine McCormack,Kevork Malikyan,6.7,2,805,306,69
Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,5.0,130,444,312,183
Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,6.2,89,22000,2000,920
Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,7.6,99,15000,833,778
David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,5.3,512,11000,918,413
Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,6.2,209,158,152,129
Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,6.5,19,11000,979,854
Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,8.1,83,3000,460,242
Xavier Gens,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,6.3,87,866,794,280
Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,4.4,148,549,269,170
Brian A Miller,Bruce Willis,50 Cent,Jessica Lowndes,4.6,32,13000,1000,1000
Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,7.6,448,482,203,83
George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,7.9,165,453,272,244
Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,5.6,13,45000,4000,681
Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,6.5,42,839,756,613
Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,7.5,729,912,306,284
Jay Chandrasekhar,Chris Moss,Owain Yeoman,Jay Chandrasekhar,6.3,422,33000,459,422
John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,5.1,9,818,636,503
Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,6.7,92,1000,886,849
Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,6.7,248,16000,988,968
Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,5.6,52,723,346,298
Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,5.6,36,1000,580,486
John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,6.2,12,8000,357,281
Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,5.6,33,15000,976,583
Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,6.4,192,1000,1000,580
Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,5.6,39,593,517,428
Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,7.4,51,427,234,89
Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,4.9,17,918,912,826
Chris Robinson,T.I.,Adam Boyer,Malika,6.0,49,680,503,104
Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,7.2,36,10000,751,746
Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,4.9,19,973,954,505
Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,4.8,11,1000,982,973
Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,5.8,11,1000,436,142
Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,6.7,847,3000,960,625
Nicholas Ray,Ava Gardner,David Niven,John Ireland,6.8,117,715,490,86
Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,6.5,201,394,150,58
Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,5.9,80,567,503,399
Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,5.5,80,2000,2000,841
Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,3.6,22,1000,593,488
Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,3.3,8,328,122,66
Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,7.4,47,23000,979,834
Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,6.7,9,767,327,193
Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,3.0,3,400,193,161
Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,7.6,168,3000,979,96
Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,6.4,4,634,537,60
Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,6.9,541,214,96,71
Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,6.6,30,14000,287,55
Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,5.5,219,1000,876,215
Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,5.2,22,669,642,255
Todd Lincoln,Julianna Guill,Rick Gomez,Tim Williams,4.1,57,465,152,62
Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,6.8,6,3000,2000,165
Steven Shainberg,Robert Downey Jr.,Ty Burrell,Matt Servitto,6.5,30,21000,3000,260
Julian Jarrold,Anne Hathaway,Julie Walters,Laurence Fox,7.1,11,11000,838,281
Joe Nussbaum,Danny Strong,Matt Long,Samm Levine,6.3,18,714,701,433
Vadim Perelman,Frances Fisher,Kim Dickens,Ron Eldard,7.6,26,638,624,385
Peter Weir,Robin Williams,Josh Charles,Kurtwood Smith,8.0,608,49000,1000,1000
Peter Farrelly,Lauren Holly,Mike Starr,Teri Garr,7.3,137,879,854,481
Todd Phillips,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,6.5,480,1000,490,486
Brian Robbins,Paul Walker,Ron Lester,Mark Walters,6.4,48,23000,255,35
Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,8.0,405,996,897,628
David S. Goyer,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,4.8,687,10000,787,389
Jonathan Liebesman,Matt Bomer,Jordana Brewster,Lew Temple,5.9,473,20000,4000,597
Cyrus Nowrasteh,Clive Russell,Vincent Walsh,Finn Ireland,5.4,19,241,118,107
Perry Andelin Blake,Jennifer Esposito,Kenan Thompson,James Brolin,3.3,11,911,521,499
John Whitesell,Leslie Bibb,Angus T. Jones,Paul Sorvino,5.4,14,1000,1000,635
John Singleton,Mo'Nique,Snoop Dogg,Angell Conwell,6.4,309,939,881,522
Christian E. Christiansen,Leighton Meester,Danneel Ackles,Frances Fisher,4.8,26,3000,1000,638
Dennie Gordon,Brittany Daniel,Erik Per Sullivan,Fred Ward,5.9,29,861,593,459
Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa,5.5,23,633,67,51
Edgar Wright,Bill Bailey,Joe Cornish,Billie Whitelaw,7.9,1000,175,115,108
Diane English,Jada Pinkett Smith,Debi Mazar,Debra Messing,4.9,15,851,680,650
Woody Allen,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,7.2,11000,19000,581,252
Peter Flinth,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,6.6,5,908,690,292
Robert Iscove,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,5.3,7,3000,240,95
Peter Kosminsky,Patrick Fugit,Cole Hauser,Marc Donato,7.2,7,835,787,450
Karyn Kusama,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,5.1,45,24000,396,271
Nick Gomez,Will Ferrell,Jamie Lee Curtis,Tracey Walter,5.6,22,8000,2000,324
Woody Allen,Mike Starr,Don Pardo,Julie Kavner,7.6,11000,854,410,233
Allen Coulter,Robert Pattinson,Lena Olin,Ruby Jerins,7.2,47,21000,541,238
Clare Kilner,Dylan Baker,Alexandra Holden,Trent Ford,5.7,6,812,326,258
Richard Benjamin,Jon Lovitz,Alyson Hannigan,Tony Jay,5.2,121,11000,3000,384
Jonathan Demme,Denzel Washington,Tom Hanks,Jason Robards,7.7,438,18000,15000,372
Josef Rusnak,Gretchen Mol,Craig Bierko,Brad William Henke,7.0,9,599,380,363
Lance Rivera,Farrah Fawcett,Vincent Pastore,Jenifer Lewis,3.6,3,1000,584,578
Ronald Neame,Martin Landau,Karl Malden,Brian Keith,4.9,38,940,416,316
Bruce Paltrow,Lochlyn Munro,Marian Seldes,Huey Lewis,6.0,28,555,403,215
Woody Allen,Woody Allen,Debra Messing,Treat Williams,6.6,11000,11000,650,642
Adam Rifkin,Natasha Lyonne,Lin Shaye,Shannon Tweed,6.8,89,1000,852,322
Russell Mulcahy,Christopher Lambert,Jon Polito,Celia Imrie,7.2,85,1000,309,186
Susanne Bier,Alison Lohman,Omar Benson Miller,Robin Weigert,7.2,369,1000,418,295
Kenneth Johnson,Charles Napier,Annabeth Gish,Hill Harper,2.8,34,503,489,465
James Gray,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,6.6,115,10000,316,310
James Ivory,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,6.7,133,898,708,258
Jessy Terrero,Mo'Nique,Snoop Dogg,Tom Arnold,4.4,29,939,881,618
Dany Boon,Dany Boon,Kad Merad,Michel Galabru,7.1,172,172,55,27
Vicente Amorim,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,6.2,6,10000,304,227
Gaspar Noé,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,7.3,929,488,289,116
Amy Heckerling,Taylor Negron,Justin Kirk,Ivan Sergei,5.1,143,1000,945,613
Lasse Hallström,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen,8.1,529,1000,884,805
Jérôme Salle,Orlando Bloom,Tanya van Graan,Conrad Kemp,6.7,22,5000,170,44
Jesse Vaughan,Vivica A. Fox,Jenifer Lewis,Kevin Pollak,4.5,10,890,578,574
Atom Egoyan,David Alpay,Marie-Josée Croze,Charles Aznavour,6.6,460,232,150,125
William Bindley,Bruce Dern,Jake Lloyd,William Shockley,6.5,4,844,626,518
Wayne Beach,Mekhi Phifer,LL Cool J,Fisher Stevens,5.9,7,1000,1000,922
Gérard Krawczyk,Carole Bouquet,Ryôko Hirosue,Michel Muller,6.6,7,235,46,17
James Gunn,Dustin Milligan,Gregg Henry,Tania Saulnier,6.5,571,499,298,102
Martin Brest,Judge Reinhold,Ronny Cox,James Russo,7.3,102,901,605,383
Leonard Nimoy,Tom Selleck,Ted Danson,Steve Guttenberg,5.9,12000,19000,875,801
Sydney Pollack,Bill Murray,Sydney Pollack,Teri Garr,7.4,521,13000,521,481
Tony Scott,Tom Cruise,Tom Skerritt,Adrian Pasdar,6.9,12000,10000,1000,555
Ivan Reitman,Kelly Preston,Tony Jay,Hugh O'Brian,6.0,425,742,384,247
Udayan Prasad,Kristen Stewart,Eddie Redmayne,William Hurt,6.8,4,17000,13000,882
Steven Spielberg,Oprah Winfrey,Rae Dawn Chong,Dana Ivey,7.8,14000,852,581,271
JK Youn,Nicole Dionne,Ji-won Ha,Kyung-gu Sol,5.7,2,94,80,13
Morten Tyldum,Benedict Cumberbatch,Rory Kinnear,Allen Leech,8.1,77,19000,393,305
Howard Zieff,Eileen Brennan,Albert Brooks,Alan Oppenheimer,6.1,6,1000,745,271
Michael Apted,Sissy Spacek,Beverly D'Angelo,Levon Helm,7.5,150,874,816,572
Thor Freudenthal,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,6.2,87,17000,975,569
Andrés Muschietti,Javier Botet,Megan Charpentier,Isabelle Nélisse,6.2,127,1000,340,250
Harold Ramis,Beverly D'Angelo,Randy Quaid,Jane Krakowski,7.4,11000,816,695,624
Jeff Tremaine,Jackson Nicoll,Georgina Cates,Grasie Mercedes,6.6,79,925,38,27
Stephen Frears,Roger Allam,Sylvia Syms,Alex Jennings,7.3,350,326,48,39
Tim Burton,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,7.5,13000,925,692,217
Gillian Armstrong,Christian Bale,Kirsten Dunst,Eric Stoltz,7.3,44,23000,4000,902
James Watkins,Daniel Radcliffe,Roger Allam,Jessica Raine,6.4,43,11000,326,259
Simon West,Madeline Carroll,Tessa Thompson,Brian Geraghty,5.0,165,1000,431,383
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,5.4,189,934,927,799
Michael Cimino,Robert De Niro,Meryl Streep,John Savage,8.2,517,22000,11000,652
Barry Levinson,Robert De Niro,Kirsten Dunst,John Michael Higgins,7.1,272,22000,4000,957
Jim Fall,Clayton Snyder,Adam Lamberg,Alex Borstein,5.3,13,925,738,566
Ric Roman Waugh,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,6.5,29,12000,1000,874
Michael Dougherty,Adam Scott,Conchata Ferrell,Allison Tolman,6.2,66,3000,658,562
Brian Gibson,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,7.2,13,90,22,2
James Mangold,Robert De Niro,Sylvester Stallone,Janeane Garofalo,6.9,446,22000,13000,1000
Joel Gallen,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,5.7,11,11000,983,971
David Ayer,Jake Gyllenhaal,Anna Kendrick,America Ferrera,7.7,453,15000,10000,953
Rob Cohen,Paul Walker,Leslie Bibb,William Petersen,5.6,357,23000,1000,883
James Marsh,Eddie Redmayne,Emily Watson,Simon McBurney,7.7,120,13000,876,149
John Whitesell,Greg Grunberg,Regina Hall,Blair Underwood,5.1,14,833,807,685
Matt Williams,Natalie Portman,James Frain,Stockard Channing,6.8,18,20000,1000,944
David Lean,Claude Rains,José Ferrer,Jack Hawkins,8.4,767,607,202,87
Jean-Marc Vallée,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,7.1,212,2000,820,612
Dennis Iliadis,Tony Goldwyn,Monica Potter,Martha MacIsaac,6.6,29,956,878,616
Clare Kilner,Jack Davenport,Debra Messing,Holland Taylor,6.1,6,1000,650,458
Rick Rosenthal,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,4.1,28,2000,864,731
Denzel Washington,Denzel Washington,Jurnee Smollett-Bell,John Heard,7.6,18000,18000,2000,697
Sara Sugarman,Adam Garcia,Carol Kane,Glenne Headly,4.6,10,811,636,231
Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha,6.0,13,818,511,106
Juan Carlos Fresnadillo,Jeremy Renner,Harold Perrineau,Catherine McCormack,7.0,35,10000,1000,306
Thomas Carter,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,6.7,49,116,110,100
Wayne Wang,Cicely Tyson,Luke Benward,Eva Marie Saint,6.4,61,907,807,649
Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,Omar Epps,7.2,107,1000,886,865
George Armitage,Minnie Driver,Michael Cudlitz,Mitchell Ryan,7.4,5,893,822,141
Phil Traill,Bradley Cooper,Katy Mixon,Beth Grant,4.8,3,14000,982,628
Joe Berlinger,Kim Director,Erica Leerhsen,Kurt Loder,4.0,31,193,184,162
Andrew Fleming,Christine Taylor,Rachel True,Brenda Strong,6.2,26,838,328,266
Woody Allen,Scarlett Johansson,Mark Gatiss,Penelope Wilton,7.7,11000,19000,567,400
Elizabeth Allen Rosenbaum,Sierra McCormick,Hutch Dano,Jason Spevack,6.7,20,512,316,125
